30270-13657,0,Passenger Car,left,front left,Property Damage. No Injured Reported,0,As the passenger car was approximately perpendicular to the Waymo AV. the front right side of the passenger car made contact with the left side of the Waymo AV
30270-13850,6,Non-Motorist: Pedestrian,front right,,Minor W/O Hospitalization,0,The Waymo AV applied hard braking. and the front of the Waymo AV made contact with the pedestrian
30270-13948,0,SUV,rear,right,Property Damage. No Injured Reported,0,The Waymo AV was stopped facing northeast on [XXX] in the second from the right lane in a queue of traffic for a red light at the intersection with [XXX] when a pedestrian approached the stationary Waymo AV and making contact with the front right sensor. causing the Waymo AV to remain stopped in lane
30270-13682,0,Heavy Truck,rear,right,Property Damage. No Injured Reported,0,The Waymo AV reversed momentarily adjacent to the heavy truck as the heavy truck continued to reverse. and the rear right side of the heavy truck cab made contact with the rear left side of the stationary Waymo AV
30270-13636,0,Bus,rear,right,Property Damage. No Injured Reported,1,As the bus was passing the Waymo AV. a passenger in the Waymo AV opened the rear left door and the right side of the bus made contact with the open rear left door of the stationary Waymo AV
30270-13654,0,Heavy Truck,rear,left,Property Damage. No Injured Reported,0,As the box truck was passing the Waymo AV. the left side of the box truck made contact with the rear left side of the stationary Waymo AV
30270-13638,14,SUV,front left,front,Property Damage. No Injured Reported,0,The SUV proceeded further into the Waymo AV's lane of travel as both vehicles exited the intersection. and the front left side of the SUV made contact with the front right side of the Waymo AV
30270-13623,0,Pickup Truck,front right,rear right,Property Damage. No Injured Reported,0,While the Waymo AV was stopped. the pickup truck reversed. came to a stop. and then reversed again. and the rear of the pickup truck made contact with the front of the stationary Waymo AV
30270-13927,0,Heavy Truck,rear,left,Property Damage. No Injured Reported,0,As the Waymo AV remained stopped. the heavy truck proceeded to pass the Waymo AV to the left. and the left side of the heavy truck trailer made contact with the rear left side of the stationary Waymo AV
30270-13958,9,SUV,rear left,front,Property Damage. No Injured Reported,0,As the SUV approached the Waymo AV from behind the SUV continued maneuvering to the right. and the front left side of the SUV made contact with the rear right side of the Waymo AV
30270-13769,23,Passenger Car,rear left,front left,Property Damage. No Injured Reported,0,The front right side of the passenger car then made contact with the rear right side of the Waymo AV
30270-13845,0,SUV,rear,right,Property Damage. No Injured Reported,1,As the SUV was passing the stationary Waymo AV. the right side of the SUV made contact with the open rear left door of the Waymo AV
30270-13766,0,SUV,front,rear,Minor W/O Hospitalization,0,While the Waymo AV was stopped. the SUV reversed and maneuvered to the right. and the rear left side of the SUV made contact with the front left side of the stationary Waymo AV
30270-13610,0,Van,rear right,front right,Property Damage. No Injured Reported,0,While the Waymo AV was stopped. a van that was initially stopped directly behind the Waymo AV proceeded forward. and the front of the van made contact with the rear of the Waymo AV
30270-13606,0,SUV,rear left,rear,Property Damage. No Injured Reported,0,While the Waymo AV was parked. an SUV that was parked facing northeast in a parking stall behind and to the right of the Waymo AV reversed. and the rear left side of the SUV made contact with the rear right side of the stationary Waymo AV
30270-13794,0,Other, see Narrative,rear,left,Property Damage. No Injured Reported,0,While the Waymo AV remained stopped. the tow truck proceeded forward to pass the Waymo AV and the left side of the tow truck made contact with the rear left side of the stationary Waymo AV
30270-13903,0,Passenger Car,front left,rear,Property Damage. No Injured Reported,0,While the Waymo AV remained stopped. the passenger car reversed again. and the rear left side of the passenger car made contact with the front right side of the stationary Waymo AV
30270-13852,3,Passenger Car,rear right,front right,Minor W/O Hospitalization,0,As the Waymo AV was slowing. a passenger car that was initially stopped behind the Waymo AV proceeded forward. and the front of the passenger car made contact with the rear of the Waymo AV
30270-13973,23,Passenger Car,right,front,Property Damage. No Injured Reported,0,The Waymo AV was traveling northbound on [XXX] in the leftmost lane when a passenger car that was stopped facing north in a queue of traffic in the adjacent right lane. began to change lanes to the left and entered the Waymo AV's lane of travel. and the front left side of the passenger car made contact with the right side of the Waymo AV
30270-13820,15,SUV,left,front left,Property Damage. No Injured Reported,0,The Waymo AV began to maneuver to the right and the front right side of the SUV made contact with the left side of the Waymo AV
